 Count File                       Function                                 Line
     1 ./array.jl                 fill!                                     155
     4 ./array.jl                 lexcmp                                    835
     2 ./array.jl                 lexcmp                                    837
     4 ./array.jl                 sizeof                                     23
     1 ./array.jl                 zeros                                     170
     5 ./base.jl                  Array                                     226
     2 ./base.jl                  setindex!                                 177
     1 ./bool.jl                  !                                          19
  9773 ./boot.jl                  include                                   245
  9773 ./client.jl                _start                                    354
  9773 ./client.jl                process_options                           285
     1 ./iostream.jl              open                                      113
     1 ./iostream.jl              open                                      125
     4 ./iostream.jl              write                                     152
     1 ./promotion.jl             /                                         161
     1 ./range.jl                 done                                      250
     1 ./reduce.jl                _mapreduce                                162
     1 ./reduce.jl                sum                                       236
     9 ./string.jl                ==                                        528
     1 ./string.jl                print_to_string                            21
     2 ./tuple.jl                 map                                        47
    14 ./tuple.jl                 ntuple                                     29
    14 ./tuple.jl                 ntuple                                     30
     4 ...lia/v0.3/NPZ/src/NPZ.jl npzwritearray                             231
     7 ...lia/v0.3/NPZ/src/NPZ.jl npzwritearray                             237
     2 ...ABM/Experiments_core.jl do_timingtest                              30
  9771 ...ABM/Experiments_core.jl do_timingtest                              56
     1 ...es-ABM/sub_functions.jl fnc_contact                               421
     1 ...es-ABM/sub_functions.jl fnc_contact                               422
     3 ...es-ABM/sub_functions.jl fnc_contact                               423
     1 ...es-ABM/sub_functions.jl fnc_contact                               426
     1 ...es-ABM/sub_functions.jl fnc_contact                               438
     1 ...es-ABM/sub_functions.jl fnc_contact                               444
     1 ...es-ABM/sub_functions.jl fnc_difference                            136
     4 ...es-ABM/sub_functions.jl fnc_dist                                  142
    11 ...es-ABM/sub_functions.jl fnc_dist                                  143
    85 ...es-ABM/sub_functions.jl fnc_dist                                  144
     1 ...es-ABM/sub_functions.jl fnc_fishfinder                            269
     4 ...es-ABM/sub_functions.jl fnc_fishfinder                            270
     2 ...es-ABM/sub_functions.jl fnc_fishfinder                            271
     3 ...es-ABM/sub_functions.jl fnc_fishfinder                            274
     2 ...es-ABM/sub_functions.jl fnc_fishfinder                            279
     1 ...es-ABM/sub_functions.jl fnc_fishfinder                            280
    11 ...es-ABM/sub_functions.jl fnc_fishfinder                            281
     6 ...es-ABM/sub_functions.jl fnc_fishfinder                            282
     1 ...es-ABM/sub_functions.jl fnc_fishfinder                            287
    11 ...es-ABM/sub_functions.jl fnc_fishfinder                            291
   150 ...es-ABM/sub_functions.jl fnc_fishfinder                            292
     4 ...es-ABM/sub_functions.jl fnc_fishfinder                            293
     8 ...es-ABM/sub_functions.jl fnc_fishfinder                            295
     4 ...es-ABM/sub_functions.jl fnc_fishfinder                            298
     1 ...es-ABM/sub_functions.jl fnc_fishfinder                            303
     3 ...es-ABM/sub_functions.jl fnc_harvest                               604
     1 ...es-ABM/sub_functions.jl fnc_harvest                               606
     4 ...es-ABM/sub_functions.jl fnc_harvest                               610
     2 ...es-ABM/sub_functions.jl fnc_harvest                               618
     2 ...es-ABM/sub_functions.jl fnc_harvest                               619
     1 ...es-ABM/sub_functions.jl fnc_harvest                               624
     1 ...es-ABM/sub_functions.jl fnc_harvest                               629
     1 ...es-ABM/sub_functions.jl fnc_harvest                               642
     1 ...es-ABM/sub_functions.jl fnc_harvest                               667
     1 ...es-ABM/sub_functions.jl fnc_harvest                               673
